"cohort","model","task","run","trial_id","status","screenshot_path","screenshot_sha256","capture_error_path","result_json_path"
"self-hosted","qwen/qwen3-vl-8b","pizza_search","1","132624","available","research/evaluation/model-trial-screenshots/self-hosted/132624__qwen_qwen3-vl-8b__pizza_search__r1.png","6c12b829313c5473d1bad981e03ff66c46421711afd1ba3ff0d7a3e7a65e5580","","research/evaluation/results/132624__qwen_qwen3-vl-8b__pizza_search__r1.json"
"self-hosted","qwen/qwen3-vl-8b","timer_set_5min","0","132042","available","research/evaluation/model-trial-screenshots/self-hosted/132042__qwen_qwen3-vl-8b__timer_set_5min__r0.png","7c826724c66cfebb844c497e16264059512ee4392fb29d96c8dcfb2dd674d05f","","research/evaluation/results/132042__qwen_qwen3-vl-8b__timer_set_5min__r0.json"
"self-hosted","qwen/qwen3-vl-8b","timer_set_5min","1","132242","available","research/evaluation/model-trial-screenshots/self-hosted/132242__qwen_qwen3-vl-8b__timer_set_5min__r1.png","377dfd5fea2f8f8cf8485325fa5dbb27f9496d830c92458269d3a7f68e7a710a","","research/evaluation/results/132242__qwen_qwen3-vl-8b__timer_set_5min__r1.json"
"self-hosted","qwen/qwen3.6-35b-a3b","bluetooth_toggle_on","0","113013","available","research/evaluation/model-trial-screenshots/self-hosted/113013__qwen_qwen36-35b-a3b__bluetooth_toggle_on__r0.png","630d735b72984deec6e2135e0926269afd6d1ada570851baf403c30f5b8b6258","","research/evaluation/results/113013__qwen_qwen36-35b-a3b__bluetooth_toggle_on__r0.json"
"self-hosted","qwen/qwen3.6-35b-a3b","bluetooth_toggle_on","1","113518","available","research/evaluation/model-trial-screenshots/self-hosted/113518__qwen_qwen36-35b-a3b__bluetooth_toggle_on__r1.png","448a3779a0c3b4289220bfed09b9b0d7949d55b5cbae4021d71a7600843e0fde","","research/evaluation/results/113518__qwen_qwen36-35b-a3b__bluetooth_toggle_on__r1.json"
"self-hosted","qwen/qwen3.6-35b-a3b","brightness_set_50","0","114023","available","research/evaluation/model-trial-screenshots/self-hosted/114023__qwen_qwen36-35b-a3b__brightness_set_50__r0.png","1521eb9c4b742e0e9c31a03d753b17e74150f939f18850ead7537d2099a9d6a3","","research/evaluation/results/114023__qwen_qwen36-35b-a3b__brightness_set_50__r0.json"
"self-hosted","qwen/qwen3.6-35b-a3b","brightness_set_50","1","114528","available","research/evaluation/model-trial-screenshots/self-hosted/114528__qwen_qwen36-35b-a3b__brightness_set_50__r1.png","6dd7f6a205886d8354f92149c1b86087f1ba418d4f0bc8ed891d3ac843df58d4","","research/evaluation/results/114528__qwen_qwen36-35b-a3b__brightness_set_50__r1.json"
"self-hosted","qwen/qwen3.6-35b-a3b","dark_mode_off","0","111207","available","research/evaluation/model-trial-screenshots/self-hosted/111207__qwen_qwen36-35b-a3b__dark_mode_off__r0.png","b0e8a03584ec41d9d33c4d0d52a2cf31bf7d421ffd2cd77212100919a06c19c2","","research/evaluation/results/111207__qwen_qwen36-35b-a3b__dark_mode_off__r0.json"
"self-hosted","qwen/qwen3.6-35b-a3b","dark_mode_off","1","111622","available","research/evaluation/model-trial-screenshots/self-hosted/111622__qwen_qwen36-35b-a3b__dark_mode_off__r1.png","88164deb62de0000dcbeb5fcd0f72ddcb6c06b2463393045004f077be3c459a8","","research/evaluation/results/111622__qwen_qwen36-35b-a3b__dark_mode_off__r1.json"
"self-hosted","qwen/qwen3.6-35b-a3b","dark_mode_on","0","110309","available","research/evaluation/model-trial-screenshots/self-hosted/110309__qwen_qwen36-35b-a3b__dark_mode_on__r0.png","a0b039698a59dd179e9b1e2628a40229fa5d7daf272a7f45d06ec458d4426e87","","research/evaluation/results/110309__qwen_qwen36-35b-a3b__dark_mode_on__r0.json"
"self-hosted","qwen/qwen3.6-35b-a3b","dark_mode_on","1","110749","available","research/evaluation/model-trial-screenshots/self-hosted/110749__qwen_qwen36-35b-a3b__dark_mode_on__r1.png","8c07e9c7ea06a9a261b60f936d70c3644c1407819fcbc6c21d90df72138c8431","","research/evaluation/results/110749__qwen_qwen36-35b-a3b__dark_mode_on__r1.json"
"self-hosted","qwen/qwen3.6-35b-a3b","pizza_search","0","120044","available","research/evaluation/model-trial-screenshots/self-hosted/120044__qwen_qwen36-35b-a3b__pizza_search__r0.png","9f61d54bf79393e60f599c817345f1aa8915438c34c56117a5c25eb1ad106078","","research/evaluation/results/120044__qwen_qwen36-35b-a3b__pizza_search__r0.json"
"self-hosted","qwen/qwen3.6-35b-a3b","pizza_search","1","120549","available","research/evaluation/model-trial-screenshots/self-hosted/120549__qwen_qwen36-35b-a3b__pizza_search__r1.png","763cb59e3f1b37d08bee250d59abf3766e207676ce0a943238c9fd9367b18ddd","","research/evaluation/results/120549__qwen_qwen36-35b-a3b__pizza_search__r1.json"
"self-hosted","qwen/qwen3.6-35b-a3b","timer_set_5min","0","115033","available","research/evaluation/model-trial-screenshots/self-hosted/115033__qwen_qwen36-35b-a3b__timer_set_5min__r0.png","faeb71a88b64b4ddcb9ba18e2eb482b51500a7fb48d4f11e347b11bb444b2183","","research/evaluation/results/115033__qwen_qwen36-35b-a3b__timer_set_5min__r0.json"
"self-hosted","qwen/qwen3.6-35b-a3b","timer_set_5min","1","115539","available","research/evaluation/model-trial-screenshots/self-hosted/115539__qwen_qwen36-35b-a3b__timer_set_5min__r1.png","d1bcf6e83fa70f77a62a62e4a60f83c0a67e33290b79cb49adb86670f1ba2aa8","","research/evaluation/results/115539__qwen_qwen36-35b-a3b__timer_set_5min__r1.json"
